Address,Price,Description,Place,Beds,Bath,Sq.Ft,Website
128 Cornerbrook Rd NE,825000,CA  AB T3N 2H1,Cornerstone,4,3,2270,Bode Platform Inc.
12931 Candle Crescent SW,2295000,CA  AB T2W 5R9,Canyon Meadows,3,3.5,2316,RE/MAX Landan Real Estate
507 60 Ave NE,699900,CA  AB T2K 4X2,Thorncliffe,4,2,1046,RE/MAX Key
89 Cougar Ridge Close SW,855000,CA  AB T3H 4E5,Cougar Ridge,5,3.5,2754,Tink
180 Wolf River Dr SE,759000,CA  AB T2X 5J9,Wolf Willow,3,2.5,2072,Bode Platform Inc.
11945 Coventry Hills Way NE,600000,CA  AB T3K 6J4,Coventry Hills,3,2.5,1879,RE/MAX Real Estate (Mountain View)
400 Eau Claire Ave SW #6501,1899000,CA  AB T2P 4X2,Eau Claire,2,2.5,2705,Royal Lepage Solutions
81 Legacy Blvd SE #2338,309900,CA  AB T2X 2B9,Legacy,2,2,765,The Real Estate Company
2124 27 Ave SW,979900,CA  AB T2T 1J1,Richmond,4,3.5,2155,Century 21 Bamber Realty Ltd.
521 57 Ave SW #303,249649,CA  AB T2V 4N5,Windsor Park,2,1,1080,Cir Realty
1111 10 St SW #2005,335000,CA  AB T2R 1E3,Beltline,1,1,652,Real Broker
6224 17 Ave SE #2318,214900,CA  AB T2A 7X8,Red Carpet,2,2,850,RE/MAX Real Estate (Central)
210 15 Ave SE #908,399000,CA  AB T2G 0B5,Beltline,2,2,947,Exp Realty
410 1 Ave NE #205,185000,CA  AB T2E 0B4,Crescent Heights,1,1,489,Cir Realty
200 Patina Ct SW #302,889900,CA  AB T3H 4K9,Patterson,2,2,2555,Winston Browne
20 Coachway Rd SW #234,499000,CA  AB T3H1E6,Coach Hill,2,2,1546,Sotheby's International Realty Canada
224 7A St NE,1200000,CA  AB T2E 4E8,Bridgeland/Riverside,8,4,1988,RE/MAX House Of Real Estate
1033 Regal Crescent NE,875000,CA  AB T2E 5G9,Renfrew,4,3.5,1450,RE/MAX House Of Real Estate
4424 17 Ave NW,839000,CA  AB T3B 0N8,Montgomery,4,3.5,1931,Sotheby's International Realty Canada
149 Taralea Green NE,539900,CA  AB T3J4Y4,Taradale,4,2.5,1172,First Place Realty
2232 36 St SE,549000,CA  AB T2B0V1,Forest Lawn,5,2,1112,RE/MAX Irealty Innovations
117 Mckenzie Towne Dr SE,499000,CA  AB T2Z4J8,Mckenzie Towne,3,2.5,1593,Royal Lepage Mission Real Estate
1107 Gladstone Rd NW #1001,1365420,CA  AB T2N 1W1,Hillhurst,3,3,1342,Bode Platform Inc.
239 Creekside Way SW,749900,CA  AB T2X 4B6,Pine Creek,3,2.5,2028,Urban-Realty.Ca
96 Magnolia Way SE,749900,CA  AB T3M2W6,Mahogany,5,3.5,1757,Nineteen 88 Real Estate
72 Bernard Dr NW,575000,CA  AB T3K2H6,Beddington Heights,5,2,970,2% Realty
1188 3 St SE #1208,356000,CA  AB T2G0Y5,Beltline,1,1,521,Grand Realty
3000 Millrise Point SW #3318,189900,CA  AB T2Y 3W4,Millrise,1,1,629,Coldwell Banker Home Smart Real Estate
145 Silverado Crest Landing SW,2199900,CA  AB T2X 0N9,Silverado,3,4.5,3076,Greater Property Group
1900 25A St SW #508,269000,CA  AB T3E 1Y5,Richmond,2,1,749,Maxwell Canyon Creek
5204 Dalton Dr NW #1113,249900,CA  AB T3A 3H1,Dalhousie,2,1,848,Maxwell Canyon Creek
128 Dovista Ct SE,325000,CA  AB T2B 3P4,Dover,3,2,891,Cir Realty
930 6 Ave SW #3305,609900,CA  AB T2P 1J3,Downtown Commercial Core,2,2,1022,Listed by David Hammer
145 Covebrook Place NE,489990,CA  AB T3K0K4,Coventry Hills,3,2.5,1346,RE/MAX Real Estate (Central)
20 Cornerstone Ave NE,570000,CA  AB T3N 1G7,Cornerstone,3,2.5,1454,Five Star Realty
150 Hotchkiss Manor SE,700000,CA  AB T3S 0J5,Hotchkiss,3,2.5,2294,Bode Platform Inc.
140 Suncrest Way SE,559900,CA  AB T2X1W4,Sundance,3,2.5,1557,Century 21 Foothills Real Estate
919 Corner Meadows Way NE,859900,CA  AB T3N 2C2,Cornerstone,4,3,2423,RE/MAX Crown
804 3 Ave SW #507,419900,CA  AB T2P 0G9,Eau Claire,2,2,956,Exp Realty
81 Legacy Blvd SE #3211,264999,CA  AB T2X 2B9,Legacy,2,1,670,Century 21 Bamber Realty Ltd.
57 Savanna Manor NE,669900,CA  AB T3J 2J7,Saddle Ridge,5,3.5,1509,RE/MAX Crown
55 Panatella Park NW,399999,CA  AB T3K 6L5,Panorama Hills,3,1.5,1176,RE/MAX Real Estate (Mountain View)
1302 Russell Rd NE #5,549999,CA  AB T2E 6Y5,Renfrew,2,2.5,1290,2% Realty
5204 Dalton Dr NW #712,235532,CA  AB T3A 3H1,Dalhousie,2,1,865,Real Broker
1407 44 St SE #A,239000,CA  AB T3A5E6,Forest Lawn,2,1.5,484,RE/MAX Irealty Innovations
1104 40 St SW,650000,CA  AB T3C3P2,Rosscarrock,4,3.5,1324,RE/MAX Real Estate (Central)
187 Legacy Glen Parade SE,627900,CA  AB T2X 4T3,Legacy,3,2.5,1634,RE/MAX Real Estate (Central)
218 Kincora Bay NW,765000,CA  AB T3R 1L5,Kincora,5,3.5,2166,Real Broker
20 Sage Hill Terrace NW #307,323988,CA  AB T3R 0W8,Sage Hill,2,2,862,Ymk Real Estate & Management Inc.
192 Lucas Heights NW,835000,CA  AB T4B 3P5,Livingston,5,2.5,2266,The Real Estate Company
215 Legacy Blvd SE #3415,319900,CA  AB T2X 3Z6,Legacy,2,2,802,2% Realty
206 Ambleton Dr NW,594900,CA  AB T3P 1W7,Ambleton,3,2.5,1640,Independent Broker
35 Redstone Park NE,699900,CA  AB T3N 0K1,Redstone,3,2.5,1689,Diamond Realty & Associates Ltd.
240 Carringvue Place NW,750000,CA  AB T3P 2A5,Carrington,3,2.5,2021,Cir Realty
291 Beddington Circle NE,549900,CA  AB T3K 1N9,Beddington Heights,5,2.5,1248,Grand Realty
1014 Panorama Hills Dr NW,649900,CA  AB T3K 5M5,Panorama Hills,3,2.5,1780,Grand Realty
315 9A St NW #205,295000,CA  AB T2N 2X9,Sunnyside,2,1,782,RE/MAX Real Estate (Central)
510 6 Ave SE #603,359900,CA  AB T2G 1L7,Downtown East Village,1,1,733,Real Estate Professionals Inc.
2804 1 Ave,1000000,CA  AB T2N0C8,West Hillhurst,4,2,974,First Place Realty
735 Evanston Dr NW,472000,CA  AB T3P0M7,Evanston,3,2.5,1368,Property Solutions Real Estate Group Inc.
10186 Hidden Valley Dr NW,674900,CA  AB T3A 5C5,Hidden Valley,4,3,1155,Cir Realty
3905 Centre B St NW,879000,CA  AB T2E 3A7,Highland Park,4,3.5,1823,RE/MAX Real Estate (Central)
312 26 Ave NE,650000,CA  AB T2E 1Z2,Tuxedo Park,4,2,837,Nineteen 88 Real Estate
345 Walden Dr SE,414900,CA  AB T2X 0Y4,Walden,2,2.5,1162,Charles
562 Sage Hill Rd NW,699900,CA  AB T3R 1Y2,Sage Hill,5,3.5,1354,RE/MAX Real Estate (Central)
74 Simcoe Crescent SW,870000,CA  AB T3H 4K7,Signal Hill,4,3.5,2147,Century 21 Elevate Real Estate
2034 32 St SW,745000,CA  AB T3E 2R3,Killarney/Glengarry,4,3.5,1710,Royal Lepage Solutions
6428 4 St NE #3,290000,CA  AB T2K5M9,Thorncliffe,3,1.5,1116,RE/MAX Real Estate (Mountain View)
918 Crescent Rd NW,3599000,CA  AB T2M 4A8,Rosedale,3,4.5,2217,RE/MAX Real Estate (Central)
732 57 Ave SW #410,249900,CA  AB T2V 0H4,Windsor Park,2,1.5,937,Maxwell Capital Realty
110 2 Ave SE #201,155000,CA  AB T2G 0B3,Chinatown,1,1,590,First Place Realty
410 1 Ave NE #304,229900,CA  AB T2E 0B4,Crescent Heights,1,1,493,Maxwell Canyon Creek
4275 Norford Ave NW #118,479900,CA  AB T3B 6M2,University District,2,1,650,RE/MAX Real Estate (Central)
3000 Hawksbrow Point NW #3210,339900,CA  AB T3G 4C9,Hawkwood,2,2,929,Greater Property Group
1611 49 Ave SW,2199000,CA  AB T2T 2T8,Altadore,6,3.5,2769,Sotheby's International Realty Canada
204 Masters Crescent SE,739000,CA  AB T3M 2N1,Mahogany,4,3.5,1981,RE/MAX Real Estate (Central)
1164 Northmount Dr NW,829000,CA  AB T2L 0C6,Brentwood,6,4,1163,Century 21 Bravo Realty
502 30 Ave NE,1499000,CA  AB T2E 2E3,Winston Heights/Mountview,4,4.5,3110,Exp Realty
4520 26 Ave NE,500000,CA  AB T1Y 3C8,Rundle,4,1,2100,Maara Realty Inc.
13 Spring Valley Ln SW,1599000,CA  AB T3H 4V2,Springbank Hill,4,3.5,2184,RE/MAX Realty Professionals
1020 9 Ave SE #122,450000,CA  AB T2G 0S7,Inglewood,1,1.5,928,Greater Property Group
1118 12 Ave SW #802,395000,CA  AB T2R 0P4,Beltline,2,2,820,Real Broker
1726 14 Ave NW #106,569900,CA  AB T2N 4Y8,Hounsfield Heights/Briar Hill,2,2,1214,RE/MAX Real Estate (Central)
7628 22A St SE,445000,CA  AB T2C 0X5,Ogden,3,2,513,Cir Realty
519 9 Ave NE,849900,CA  AB T2E 0W2,Renfrew,5,3.5,1804,Royal Lepage Mission Real Estate
24 Midvalley Crescent SE,950000,CA  AB T2X1N3,Midnapore,4,2.5,2410,Exp Realty
7 Chaparral Valley Grove SE,749900,CA  AB T2X 0M4,Chaparral,4,3.5,1794,RE/MAX Irealty Innovations
107 Valley Crest Rise NW,1100000,CA  AB T3B 5Y9,Valley Ridge,4,3.5,2454,Century 21 Bravo Realty
2101 18A St SW,1420000,CA  AB T2T 4W3,Bankview,4,4.5,3306,Real Broker
839 Mcpherson Rd NE,849900,CA  AB T2Z 4Z6,Bridgeland/Riverside,3,2,720,CA West Realty
5640 Temple Dr NE,599900,CA  AB T1Y 3Z7,Temple,5,2.5,1083,Maxvalue Realty Ltd.
22 Richard Place SW #137,335000,CA  AB T3E7N6,Lincoln Park,2,2,904,Cir Realty
236 Fairview Dr SE,548000,CA  AB T2H 1B5,Fairview,5,2,980,Listed by Seamus Logue
1153 Cranbrook Gardens SE,997800,CA  AB T3M 3L3,Cranston,3,2.5,2540,RE/MAX Irealty Innovations
308 Greenbirar Common NW,684900,CA  AB T3B6J3,Greenwood/Greenbriar,4,3.5,1811,RE/MAX House Of Real Estate
57 Auburn Bay Gardens SE,569900,CA  AB T3M 0K3,Auburn Bay,3,2.5,1512,Grand Realty
11894 Coventry Hills Way NE,700000,CA  AB T3K6C1,Coventry Hills,3,2.5,2323,RE/MAX Real Estate (Mountain View)
1734 11 Ave SW #302,575000,CA  AB T3C0N4,Sunalta,3,3,1474,Greater CA Real Estate
280 Templeton Circle NE,580000,CA  AB T1Y5R5,Temple,5,3,1841,Coldwell Banker Complete Real Estate
51 Appleburn Close SE,438000,CA  AB T2A 7S8,Applewood Park,4,1.5,1122,Cir Realty
119 42 Ave NE,539900,CA  AB T2E 2N5,Highland Park,4,2,836,Grand Realty
36 Dovista Ct SE,325000,CA  AB T2B 2P4,Dover,3,2,905,Maxwell Canyon Creek
3031 32A St SE,388888,CA  AB T2B 0T2,Dover,3,1,924,Cir Realty
643 4 Ave NE #1,358900,CA  AB T2E 0J9,Bridgeland/Riverside,2,1.5,1039,Century 21 Bravo Realty
1030 8 Ave NE,625000,CA  AB T2E 0S3,Renfrew,3,2,942,Royal Lepage Benchmark
2126 18A St SW,849000,CA  AB T2T 4W2,Bankview,3,2,1170,RE/MAX Landan Real Estate
3015 51 St SW #91,299900,CA  AB T3E 6N5,Glenbrook,2,1,930,Century 21 Bravo Realty
383 Copperhead Way SE,699900,CA  AB T2Z 5G1,Copperfield,3,2.5,2172,Exp Realty
5931 Dalhousie Dr NW,664000,CA  AB T3A 1T3,Dalhousie,4,2.5,1211,RE/MAX Irealty Innovations
93 Sherwood Rd NW,899000,CA  AB T3R 0N8,Sherwood,4,3.5,2370,First Place Realty
31 Auburn Bay Place SE,679900,CA  AB T3M 0A4,Auburn Bay,3,3.5,1738,RE/MAX Complete Realty
1634 17 Ave NW,739000,CA  AB T2M 0R7,Capitol Hill,4,3.5,1716,Century 21 Bamber Realty Ltd.
234 Belmont Heath SW,528000,CA  AB T2X 4N4,Belmont,3,2.5,1448,Cir Realty
6543 54 St NW,649000,CA  AB T3A 1R5,Dalhousie,5,2,1081,First Place Realty
77 Woodpath Terrace SW,1200000,CA  AB T2W 5Z6,Woodbine,5,3.5,2772,RE/MAX Real Estate (Central)
2111 Hawksbrow Point NW #2111,360000,CA  AB T3G4C9,Hawkwood,2,1.5,985,Real Broker
7714 36 Ave NW,855000,CA  AB T3B 1V3,Bowness,5,3.5,1829,Exp Realty
3809 45 St SW #49,249900,CA  AB T3E 3H4,Glenbrook,3,1,860,Real Broker
307 Seton Rd SE,765000,CA  AB T3M 3L6,Seton,3,2.5,2297,RE/MAX Irealty Innovations
1312 13 Ave SW #603,209900,CA  AB T3C 0T3,Beltline,1,1,566,CA West Realty
112 Cranbrook Heights SE,1383000,CA  AB T3M 1W7,Cranston,5,4.5,3093,Real Estate Professionals Inc.
51 Waterfront Mews SW #101,825000,CA  AB T2P 0X3,Chinatown,2,2,1080,RE/MAX Real Estate (Central)
91 Bermuda Close NW,524900,CA  AB T3K 1G4,Beddington Heights,5,2.5,1138,RE/MAX Crown
4739 Nordegg Crescent NW,664900,CA  AB T2K 2M2,North Haven,4,1.5,1228,RE/MAX Realty Professionals
116 Midland Crescent SE,550000,CA  AB T2X 1P4,Midnapore,4,2,1045,RE/MAX House Of Real Estate
177 Westminster Dr SW,779500,CA  AB T3C 2T5,Westgate,5,2,1050,RE/MAX Real Estate (Central)
167 Douglasview Rd SE,875000,CA  AB T2Z 2S7,Douglasdale/Glen,6,4.5,2936,Listed by Derrick Dion
630 Sabrina Rd SW #44,299000,CA  AB T2W 2N7,Southwood Village,3,1.5,1140,RE/MAX Real Estate (Central)
311 Temple Close NE,580000,CA  AB T1Y 3C1,Temple,4,2.5,1260,RE/MAX Real Estate (Central)
1719 9A St SW #121,499900,CA  AB T2T 6S3,The Block,2,2.5,1088,Listed by Stephanie Berman
47 Homestead Close NE,999000,CA  AB T3J 2H2,Homestead,5,4,2675,RE/MAX Real Estate (Central)
1609 Evergreen Hill SW,989000,CA  AB T2Y 3A9,Evergreen,6,3.5,2649,The Real Estate Company
89 Sunmeadows Crescent SE,749900,CA  AB T2X 3H3,Sundance,4,3,1355,RE/MAX Realty Professionals
75 Corner Meadows Common NE,659900,CA  AB T3N 1K1,Cornerstone,4,3.5,1609,RE/MAX Crown
1901 Varsity Estates Dr NW #12,899900,CA  AB T3B4T7,Chateau On The Green,3,3.5,2060,RE/MAX Real Estate (Mountain View)
2309 16A St SW,1495000,CA  AB T2T 4K3,Bankview,4,4.5,1924,Listed by Sandy Seifert
5611 Dalwood Way NW,774900,CA  AB T3A 1S6,Dalhousie,4,1.5,1685,Century 21 Bravo Realty
150 Shawnee Square SW #407,608990,CA  AB T2Y 0T6,Shawnee Slopes,2,2.5,1352,Bode Platform Inc.
2419 Erlton Rd SW #406,404900,CA  AB T2S 3B8,Erlton,2,2,1080,RE/MAX Complete Realty
132 Prominence Heights SW,525000,CA  AB T3H 2Z6,Prominence Heights,3,2.5,1764,RE/MAX Real Estate (Central)
1523 28 Ave SW #2,664900,CA  AB T2T 1J3,South CA,3,3.5,1334,Century 21 Bamber Realty Ltd.
2839 Cedar Ridge Dr SW,799900,CA  AB T2W 2B2,Cedarbrae,4,3,1119,Exp Realty
510 6 Ave SE #1404,495000,CA  AB T2G1L7,Downtown East Village,2,2,867,Bluepoint Realtors
4733 17 Ave NW #1,549000,CA  AB T3B 0P4,Montgomery,3,3.5,1446,RE/MAX Irealty Innovations
17 Millrose Place SW,370000,CA  AB T2Y3J6,Millrise,2,2.5,1166,2% Realty
355 Taralake Way NE #322,279900,CA  AB T3J0M1,Taradale,2,2,765,Century 21 Bamber Realty Ltd.
181 Skyview Ranch Manor NE #1205,239900,CA  AB T3N 0V2,Skyview Ranch,1,1,590,RE/MAX House Of Real Estate
120 Mt Cascade Close SE,849900,CA  AB T2Z 2K3,Mckenzie Lake,5,3.5,2625,Listed by Aleksey Julanov
110 Panamount Dr NW,413900,CA  AB T3K 6K3,Panamount Place,3,1.5,1041,RE/MAX Real Estate (Mountain View)
107 Bernard Mews NW,620000,CA  AB T3K 2E5,Beddington Heights,3,3,1090,Diamond Realty & Associates Ltd.
11811 Lake Fraser Dr SE #3412,239990,CA  AB T2J 7J1,Lake Bonavista,1,1,588,Century 21 Bamber Realty Ltd.
640 Douglas Glen Blvd SE,675000,CA  AB T2Z2W3,Douglasdale/Glen,4,3.5,1938,Cir Realty
4004 New Brighton Grove SE,569000,CA  AB T2Z1G4,New Brighton,3,2.5,1587,Cir Realty
33 Saddlecrest Close NE,639888,CA  AB T3J 5B5,Saddle Ridge,4,3.5,1503,Real Estate Professionals Inc.
33 Burma Star Rd SW #305,795000,CA  AB T3E 7Y9,Currie Barracks,2,2.5,1581,Cir Realty
3648 Chippendale Dr NW,675000,CA  AB T2L 0W8,Charleswood,3,2,1042,Sotheby's International Realty Canada
1053 10 St SW #411,258800,CA  AB T2R 1S6,Beltline,1,1,665,RE/MAX Real Estate (Mountain View)
1122 3 St SE #1509,519900,CA  AB T2G 1H7,Beltline,2,2,934,RE/MAX Landan Real Estate
1003 Woodview Crescent SW,595000,CA  AB T2W 4X5,Woodlands,3,2.5,1772,Listed by Jamie Newton
73 Valley Woods Way NW,950000,CA  AB T3B6A2,Valley Ridge,4,3.5,2087,Real Broker
515 57 Ave SW #202,215000,CA  AB T2V 0H3,Windsor Park,2,1,862,Century 21 Bamber Realty Ltd.
695 Cranston Ave SE,1195000,CA  AB T3M 2J5,Cranston,5,3.5,2736,RE/MAX House Of Real Estate
1130 Copperfield Blvd SE,594900,CA  AB T2Z 5E9,Copperfield,3,2.5,1544,First Place Realty
8880 Horton Rd SW #1217,349900,CA  AB T2V 2X4,Haysboro,2,2,976,Exp Realty
2117 32 Ave SW,1169900,CA  AB T2T 1W9,Richmond,4,3.5,1883,Exp Realty
25 Prestwick Dr SE #211,329900,CA  AB T2Z4Z1,Mckenzie Towne,2,2,965,Listed by Angela Els
440 12 Ave NE #1,449900,CA  AB T2E 1A6,Renfrew,3,3.5,1100,Royal Lepage Mission Real Estate
175 Covington Rd NE,539900,CA  AB T3K 4G1,Coventry Hills,3,2,1009,RE/MAX Real Estate (Central)
115 Cranwell Close SE,799999,CA  AB T3M 1B1,Cranston,4,3.5,2250,Homecare Realty Ltd.
195 Macewan Meadow Way NW,480000,CA  AB T3K 3K1,Macewan Glen,4,1.5,850,Jessica Chan Real Estate & Management Inc.
1430 21 Ave NW,399900,CA  AB T2M 1L6,Capitol Hill,1,1,481,Classic Property Management & Realty Ltd
42 Prestwick Dr SE,468000,CA  AB T2Z 4K8,Mckenzie Towne,3,3.5,1271,Royal Lepage Benchmark
1334 Legacy Circle SE,544900,CA  AB T2X 3C9,Legacy,3,2.5,1396,First Place Realty
221 Creekside Blvd SW,519900,CA  AB T2X 4P4,Pine Creek,3,2.5,1267,2% Realty
5012 Marlborough Dr NE,599999,CA  AB T2A 4J6,Marlborough,5,2.5,1161,Exp Realty
23 West Jensen Place SW,732800,CA  AB T3H 5W9,West Springs,3,2.5,1206,Stonemere Real Estate Solutions
25 Auburn Meadows Ave SE #345,369000,CA  AB T3M 2L3,Auburn Bay,2,2,864,Real Broker
436 Hawkstone Dr NW,674900,CA  AB T3G 3R2,Hawkwood,4,3.5,1779,RE/MAX House Of Real Estate
825 4 St NE #301,269900,CA  AB T2E 3S9,Renfrew,2,1,758,Royal Lepage Solutions
881 Sage Valley Blvd NW #1403,489999,CA  AB T3R 0R2,Sonoma At Sage Hill,3,2.5,1214,Cir Realty
2211 17 St SW,499900,CA  AB T2T 4M7,Bankview,1,2,1050,RE/MAX House Of Real Estate
1140 Taradale Dr NE #2112,247700,CA  AB T3J 0G1,Taradale,2,2,881,Royal Lepage Metro
2 Hemlock Crescent SW #203,348000,CA  AB T3C2Z1,Spruce Cliff,2,1.5,849,Real Estate Professionals Inc.
33 Saddlemont Grove NE,549900,CA  AB T3J4Z9,Saddle Ridge,3,3.5,1353,Prep Realty
1109 53A St SE,299900,CA  AB T2A 1V8,Penbrooke Meadows,3,1.5,443,Exp Realty
627 53 Ave SW,830000,CA  AB T2V 0C2,Windsor Park,5,3.5,1767,RE/MAX Real Estate (Central)
210 Canterbury Place SW,1095000,CA  AB T2W 1P4,Canyon Meadows,4,3.5,1611,Exp Realty
2706 4 Ave NW,1149900,CA  AB T2N 0P8,West Hillhurst,4,3.5,1815,Real Broker
504 Cranford Dr SE,459900,CA  AB T3M 2P7,Cranston Ridge,3,2.5,1269,RE/MAX Real Estate (Central)
10120 Brookpark Blvd SW #511,199900,CA  AB T2W 3G3,Braeside,2,1,832,Diamond Realty & Associates Ltd.
707 4 St NE #413,329900,CA  AB T2E 3S7,Renfrew,1,1,589,Century 21 Bamber Realty Ltd.
13104 Elbow Dr SW #1303,300000,CA  AB T2W 2P2,Canyon Creek Heights,2,1,1018,RE/MAX Real Estate (Central)
155 Skyview Ranch Way NE #6302,290000,CA  AB T3N 0L6,Skyview Ranch,2,2,837,Real Estate Professionals Inc.
7621 26A St SE,374900,CA  AB T2C 1E6,Ogden,3,1,923,Century 21 Argos Realty
56 Rockford Terrace NW,1200000,CA  AB T3G 0E1,Rocky Ridge,5,3.5,2816,Royal Lepage Benchmark
1472 Legacy Circle SE,535000,CA  AB T2X 2J4,Legacy,3,2.5,1348,Cir Realty
162 Evanscrest Rd NW,599900,CA  AB T3P 1J3,Evanston,3,2.5,1236,Greater CA Real Estate
2204 Bowness Rd NW,999900,CA  AB T2N 3L3,West Hillhurst,4,3.5,2174,Sotheby's International Realty Canada
64 Abberfield Ct NE,349900,CA  AB T2A 7N4,Abbeydale,3,1.5,1286,RE/MAX Complete Realty
199 Copperpond St SE,609999,CA  AB T2Z 5B5,Copperfield,4,3.5,1578,Exp Realty
755 Copperpond Blvd SE #5115,199900,CA  AB T2Z 4R2,Copperfield,1,1,585,RE/MAX Landan Real Estate
330 Canterbury Dr SW #158,329900,CA  AB T2W 1H6,Canyon Meadows,3,1.5,1149,Grand Realty
56 Hawkwood Place NW,649900,CA  AB T3G 1X6,Hawkwood,4,2.5,1848,Greater CA Real Estate
276 Cranbrook Point SE,2590000,CA  AB T3M2Y4,Cranston,4,3.5,3325,Diamond Realty & Associates Ltd.
1815 26 Ave SW #6,245000,CA  AB T2T 1E2,South CA,2,1,742,Babych Group Central
130 New Brighton Way SE #476,425000,CA  AB T2Z1H6,New Brighton,3,2.5,1214,Cir Realty
23 Cornerstone Ave NE,584900,CA  AB T3G 1N7,Cornerstone,3,2.5,1465,Royal Lepage Mission Real Estate
2306 20 St NW,650000,CA  AB T2M 1R9,Banff Trail,3,2.5,1289,Real Broker
20 Harvest Glen Mews NE,625000,CA  AB T3K4C2,Harvest Hills,3,3.5,1706,Greater Property Group
97 Tuscarora Circle NW,799900,CA  AB T3L 2B9,Tuscany,5,3.5,2429,Top Producer Realty And Property Management
406 Cranberry Park SE #103,239900,CA  AB T3M 1Y9,Cranston,1,1,583,Rhinorealty
4037 42 St NW #265,599888,CA  AB T3A 2M9,Shaganappi Estates,3,2.5,1581,Exp Realty
110 10 Ave NE #6,574900,CA  AB T2E 0W7,Crescent Heights,3,2.5,1533,Real Estate Professionals Inc.
2107 Lake Bonavista Dr SE,1775000,CA  AB T2J2Z8,Lake Bonavista,5,3.5,2954,Honestdoor Inc.
235 33 Ave NE,789000,CA  AB T2E 2H7,Highland Park,4,3.5,1615,Stratten Gates Real Estate Ltd.
56 Dalhousie Crescent NW,594900,CA  AB T3A 2H8,Dalhousie,4,2.5,1457,Diamond Realty & Associates Ltd.
950 Arbour Lake Rd NW #218,359900,CA  AB T3G5B3,Arbour Lake Landing,4,2.5,1146,First Place Realty
278 Cornerstone Heights NE,647500,CA  AB T3N 1R8,Cornerstone,4,3.5,1562,RE/MAX Real Estate (Mountain View)
808 Royal Ave SW #208,279900,CA  AB T2T 0L3,Lower Mount Royal,1,1,578,RE/MAX Landan Real Estate
1530 16 Ave SW #103,179000,CA  AB T3C 0Z8,Sunalta,1,1,495,Manor Hill Realty Yyc Inc.
61 Silverado Blvd SW,649888,CA  AB T2X 0C5,Silverado,5,3.5,2011,Exp Realty
475 27 Ave NW,725000,CA  AB T2M 2H7,Mount Pleasant,4,4,1815,Real Broker
334 Evanston Way NW,845000,CA  AB T3P 0P7,Evanston,3,3.5,2147,RE/MAX Irealty Innovations
126 14 Ave SW #401,332750,CA  AB T2R 0L9,Beltline,2,2,876,Homecare Realty Ltd.
31 Skyview Ranch Ln NE,564900,CA  AB T3N 0L9,Skyview Ranch,4,3.5,1470,Real Broker
211 42 Ave SW,445000,CA  AB T2S1A7,Parkhill,3,1.5,794,Century 21 Elevate Real Estate
439 Woodbine Blvd SW,550000,CA  AB T2W 4G9,Woodbine,4,3.5,1671,Exp Realty
450 Sage Valley Dr NW #1310,364000,CA  AB T3R 0J2,Sage Hill,2,2,845,2% Realty
248 Everwillow Green SW,795000,CA  AB T2Y 4V9,Evergreen,3,2.5,2268,Listed by Sandy Seifert
206 Skyview Point Place NE,428800,CA  AB T3N 0L7,Skyview Ranch,3,2.5,1394,Greater Property Group
123 Auburn Sound Circle SE,1129999,CA  AB T3M 0R8,Auburn Bay,4,3.5,2871,RE/MAX House Of Real Estate
1500 7 St SW #402,315000,CA  AB T2A 1A7,Beltline,1,1,586,Royal Lepage Benchmark
4641 128 Ave NE #4115,329000,CA  AB T3N 1T3,Skyview Ranch,2,2,887,Real Broker
2216 8 St NE,2599900,CA  AB T2E 4H6,Winston Heights/Mountview,4,3.5,4469,Greater Property Group
681 Evermeadow Rd SW,499999,CA  AB T2y 4w7,Evergreen,3,2.5,1340,Royal Lepage Solutions
136 Hamptons Square NW,1100000,CA  AB T3A 5C3,Hamptons,4,3.5,2545,Royal Lepage Benchmark
286 Cranford Park SE,474900,CA  AB T3M 2C5,Cranston,2,2.5,1288,RE/MAX Irealty Innovations
10888 Panorama Hills Blvd NW #170,549900,CA  AB T3K 5L1,Panorama Hills,3,2.5,1239,Urban-Realty.Ca
204 Pinehill Rd NE #5,235000,CA  AB T1Y 2M5,Pineridge,2,1.5,535,Century 21 Bravo Realty
946 & 948 31 Ave NW,1300000,CA  AB T2K 0A5,Cambrian Heights,7,4,1741,RE/MAX Real Estate (Central)
84 Sandarac Way NW,419900,CA  AB T3K 2Y3,Sandstone Valley,3,1.5,1066,Real Broker
30 Shawglen Way SW,449900,CA  AB T2Y2r1,Shawnessy,4,2,1008,Diamond Realty & Associates Ltd.
. Lake Fraser Green SE #1313,450000,CA  AB T2J 7H6,Lake Bonavista,2,2,1019,Listed by Sandy Seifert
189 Cranberry Close SE,524800,CA  AB T3M 0B5,Cranston,4,1.5,1117,RE/MAX Landan Real Estate
4915 Brockington Rd NW,728800,CA  AB T2L 1R7,Brentwood,3,3,1588,Real Broker
1313 Cameron Ave SW #204,265000,CA  AB T2T 0L2,Lower Mount Royal,1,1,853,Exp Realty
315 3 St SE #203,329000,CA  AB T2G 0S3,Downtown East Village,2,2,825,Maxwell Capital Realty
222 Mystic Ridge Park SW,2350000,CA  AB T3H1S8,Springbank Hill,4,4.5,3551,RE/MAX House Of Real Estate
3706 Dover Ridge Dr SE,470000,CA  AB T2B2C8,Dover,5,2,998,RE/MAX Realty Professionals
55 Hawkmount Heights NW,799900,CA  AB T3G 3S5,Hawkwood,5,3.5,2144,Royal Lepage Benchmark
